Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Event Id,Event Date,Event Duration
32.94335938,527,90,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.9453125,527,55,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.94726563,527,12,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.94921875,527,3,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.95117188,527,37,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.953125,527,82,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.95507813,527,91,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.95703125,527,66,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.95898438,527,50,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.9609375,527,65,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.96289063,527,101,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.96484375,527,136,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.96679688,527,181,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.96875,527,202,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.97070313,527,139,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.97265625,527,69,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.97460938,527,66,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.9765625,527,80,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.97851563,527,70,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.98046875,527,50,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.98242188,527,38,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.984375,527,42,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.98632813,527,58,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.98828125,527,58,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.99023438,527,60,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.9921875,527,86,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.99414063,527,99,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.99609375,527,71,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.99804688,527,-1,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33,528,-22,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.00195313,528,19,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.00390625,528,67,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.00585938,528,76,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.0078125,528,57,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.00976563,528,40,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.01171875,528,27,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.01367188,528,42,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.015625,528,69,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.01757813,528,75,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.01953125,528,44,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.02148438,528,7,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.0234375,528,-8,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.02539063,528,-20,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.02734375,528,-11,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.02929688,528,18,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.03125,528,52,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
33.03320313,528,90,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
